OBJECTID,name,dam_name,district,dist_sym,division,div_sym,dry,dist_to_infest_km,surface_area_km,connectivity,num_connections,perc_open_water_25mi,perc_perennial_snowice_25mi,perce_dev_openspace_25mi,perc_dev_lowintensity_25mi,perc_dev_medintensity_25mi,perc_dev_highintensity_25mi,perc_barren_25mi,perc_forest_25mi,perc_shrubscrub_25mi,perc_herbaceous_25mi,perc_haypasture_25mi,perc_crops_25mi,perc_wetland_25mi,perc_open_water_50mi,perc_perennial_snowice_50mi,perce_dev_openspace_50mi,perc_dev_lowintensity_50mi,perc_dev_medintensity_50mi,perc_dev_highintensity_50mi,perc_barren_50mi,perc_forest_50mi,perc_shrubscrub_50mi,perc_herbaceous_50mi,perc_haypasture_50mi,perc_crops_50mi,perc_wetland_50mi,mean_elev_m,mean_slope,perc_CaO_25mi,perc_alluvial_25mi,perc_eolian_25mi,perc_glacial_glaciofluvial_25mi,perc_colluvial_25mi,perc_organic_rich_25mi,perc_proglacial_25mi,perc_resid_volcanic_art_wat_25mi,hardness_range,min_hardness,max_hardness,pH_range,pH_min,pH_max,infest_status
189,Mark Twain Lake,Clarence Cannon Dam,St. Louis District,MVS,Mississippi Valley Division,MVD,No,31.43113763,78.69432226,None,0,1.880315296,0,2.342620767,1.767587906,0.713065582,0.152342701,0.140836636,20.48336888,0.149618898,0.423631474,22.52594072,46.3318285,3.088842642,1.660773252,0,2.410461804,2.090187807,0.91776651,0.209797728,0.132043102,26.44262896,0.17031283,0.407134256,25.15960109,37.46687113,2.932421532,184.1239669,0.39891713,23.59832293,3.398707759,0,3.328949625,0,0,0,93.27234262,225.0-325.0,225,325,7.8-8.1,7.8,8.1,0
190,Rend Lake,Rend Lake Dam,St. Louis District,MVS,Mississippi Valley Division,MVD,No,60.71830791,68.25544216,None,0,2.714327252,0,4.059749288,3.417648468,1.11441573,0.298728765,0.111431473,22.05336919,0.166957829,0.554430285,15.61799332,45.81606131,4.074887101,2.40875774,0,3.55314027,2.639516033,0.829801209,0.201083961,0.137789855,25.17274859,0.172382072,0.476574593,13.40715629,45.95480215,5.046247233,123.1980198,0.074970526,17.91081059,0,0,11.29413006,0,0,3.006844528,85.69902541,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
191,Sardis Lake Vicksburg,Sardis Dam,Vicksburg District,MVK,Mississippi Valley Division,MVD,No,70.44452402,159.4988151,None,0,3.226308847,0,3.118570583,1.796505829,0.574955448,0.152022048,0.118827295,48.67973347,1.803946745,1.301178517,20.19488379,11.51275063,7.520316801,3.190206405,0,3.891491072,2.715629973,1.624603614,0.675870249,0.165319236,36.88548654,1.64655303,1.412072489,15.41503356,22.23179548,10.14593835,82.45374449,0.172265823,1.811282692,24.05356901,0,0,0,0,0,75.94643099,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
192,Saylorville Lake,Saylorville Dam,Rock Island District,MVR,Mississippi Valley Division,MVD,No,67.95882098,21.4264393,None,0,1.333755984,0,4.654107292,5.187156646,3.542732529,1.086583396,0.266622556,7.675633833,0.04503835,1.10319487,10.85969554,60.81799207,3.427486929,1.066811094,0,3.391922337,2.767160602,1.496821401,0.407275535,0.161078116,8.304407366,0.083086684,0.943412779,14.15823339,65.12269297,2.097097727,254.7428571,0.514738895,5.614868285,0,0,17.52750483,82.47249517,0,0,0,225.0-325.0,225,325,7.8-8.1,7.8,8.1,0
193,Wallace Lake,Wallace Lake Dam,Vicksburg District,MVK,Mississippi Valley Division,MVD,No,175.1608263,8.236305056,None,0,3.266195035,0,3.603538045,4.46011803,3.06242363,1.41743519,0.260175874,39.45533689,4.85730273,3.810963431,14.16340544,2.601062008,19.0420437,3.270149064,0,3.103377538,2.697744015,1.386402323,0.5941021,0.271748854,46.76596236,5.741966579,4.837023701,11.41494108,1.716123052,18.20045933,43.90909091,0.194843396,2.719358534,93.41068301,0,0,0,0,0,6.589316988,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
194,Wappapello Lake,Wappapello Dam,St. Louis District,MVS,Mississippi Valley Division,MVD,No,75.03103834,28.94624064,None,0,1.064272432,0,3.145093717,1.070582685,0.471291704,0.089161316,0.163932325,55.33634443,0.597240454,0.603587324,10.51379742,23.00516965,3.939526536,0.855504306,0,3.155876088,1.290397026,0.569354308,0.14153124,0.174792063,48.01197666,0.50395275,0.490929898,11.23725972,30.55839416,3.010031779,112.6122449,0.413480146,13.0309971,0.065247786,0,0,0,0,0,99.93475221,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
195,Lake Ashtabula,Baldhill Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,82.90883053,22.03735503,None,0,2.883145618,0,2.576427046,0.659883545,0.241295272,0.052992089,0.078111861,0.718470238,0.043279857,4.67845405,8.062618836,73.5911864,6.414135192,2.698506219,0,2.886675279,0.647998386,0.238361042,0.050119555,0.080449266,0.81230444,0.028819089,3.681624806,9.926530982,72.68908828,6.259522655,390.6153846,0.462773513,1.354602693,0,0,13.06711355,56.05329845,0,30.879588,0,325.0-400.0,325,400,7.8-8.1,7.8,8.1,1
196,Eau Galle Reservoir,Eau Galle Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,34.21402558,0.545736458,None,0,2.227117173,0,4.189465099,1.976135314,0.861138044,0.277340606,0.146643011,26.73256525,0.233957431,0.376900968,15.69475851,42.26773259,5.016245997,3.465490159,0,4.744998572,3.591878844,2.480346897,0.937359144,0.20935509,26.01945841,0.224845928,1.201653332,13.04539517,37.26266118,6.816557271,291,0.421381652,12.64875352,0,0,100,0,0,0,0,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
197,Gull Lake,Gull Lake,St. Paul District,MVP,Mississippi Valley Division,MVD,No,0.432676871,45.44660694,None,0,7.903217353,0,3.205471312,1.378676819,0.654570208,0.172703851,0.107520009,36.26827928,0.958242998,1.611153221,11.51469238,6.819482061,29.40599051,8.917474989,0,2.593819864,1.181979329,0.534866079,0.122032919,0.098046318,30.12725778,0.733326782,1.054681519,10.19130665,15.09495197,29.35025582,365.084507,0.193692921,1.609248872,0,0,12.87167914,0,0,19.31741695,67.81090391,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
198,Homme Lake,Homme Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,48.51996442,0.780391032,None,0,0.905451261,0,3.136716922,0.768624108,0.231691254,0.048914302,0.078201548,2.481033569,0.051555095,1.977698418,9.721611006,75.50299866,5.095503854,2.396888207,0,2.632409898,0.93600273,0.366067702,0.091008474,0.120476933,1.744788285,0.027612828,1.359538489,7.164994339,72.29459472,6.25723457,336,0.157919765,3.693919671,0,82.90993072,0,0,0,17.09006928,0,325.0-400.0,325,400,7.8-8.1,7.8,8.1,0
199,Leech Lake,Leech Lake Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,2.457890549,414.828003,None,0,15.18617157,0,2.347719465,0.817522368,0.344266484,0.076938622,0.114611191,44.45674406,1.094420352,1.297023241,3.63472125,1.838670035,28.79119136,9.582622153,0,2.325575186,0.878275009,0.391080233,0.096462256,0.127241014,40.22517981,1.161912103,1.266213411,5.596481101,4.919842042,33.42911569,395.2318634,0.068733091,1.968616956,0,0,2.017486766,0,0.293326391,5.023431398,92.66575545,119.0-225.0,119,225,7.3-8.1,7.3,8.1,1
200,Marsh Lake,Marsh Lake Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,12.06093672,17.69309852,Dam,1,3.106916291,0,2.868847961,1.026962588,0.422032918,0.110180017,0.141503236,0.849271542,0.001423783,0.596401805,3.681590579,76.54065893,10.65421035,3.138131296,0,2.883593252,0.984005399,0.452391225,0.105873205,0.122896051,1.457628681,0.011746168,6.015934354,5.947179848,71.72951709,7.151103432,286.1785714,0.126309732,1.16011956,97.11787729,0,0,0,0,2.882122706,0,325.0-400.0,325,400,7.8-8.1,7.8,8.1,0
201,Orwell Lake,Orwell Reservoir & Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,0.258313824,4.335329844,None,0,8.004056221,0,3.123242911,1.31550182,0.467091328,0.113032721,0.103627673,6.593189399,0.073002581,0.990534703,5.238079962,67.39366701,6.584973674,6.731749834,0,3.067918794,1.227765776,0.55960485,0.126046199,0.144493201,7.007098601,0.143116125,1.172824162,6.455560675,63.6156292,9.748192587,327.5,0.18489267,2.864311997,0,0,100,0,0,0,0,325.0-400.0,325,400,7.8-8.1,7.8,8.1,1
202,Pine River Reservoir,Pine River Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,0.040291869,58.21612401,None,0,10.11201274,0,2.897566096,1.179385163,0.541360488,0.151895371,0.098882668,41.21877409,0.992378815,1.512323915,7.591729352,2.063622681,31.64006863,10.16783811,0,2.487553553,1.058359508,0.484603367,0.120861846,0.097521485,34.33710231,0.883084205,1.102432725,8.156377055,7.264991478,33.83927436,375.7692308,0.12948369,1.569502497,0,0,0,0,0,100,0,119.0-225.0,119,225,7.3-8.1,7.3,8.1,1
203,Lake Traverse,Reservation Highway Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,32.00106273,73.71958754,None,0,4.075230711,0,2.812107052,0.771690749,0.272523963,0.048078387,0.115649189,1.41649589,0.010300958,9.586591134,4.390862061,69.98547859,6.51499132,5.918979365,0,2.801857017,0.900672412,0.361222466,0.077506709,0.120133027,1.961769547,0.01474979,9.710227782,4.908024062,66.11692609,7.107931734,297.8416667,0.239116544,2.083175455,0,0,2.535648013,0,0,26.24523879,71.21911319,430.0-779.0,430,779,7.8-8.1,7.8,8.1,0
204,Upper & Lower Red Lake,Lower Red Lake,St. Paul District,MVP,Mississippi Valley Division,MVD,No,40.77041113,1148.89264,None,0,10.69664151,0,1.23220497,0.370862622,0.128616601,0.016403235,0.060739411,12.29579159,0.28845829,0.563122624,2.75211348,9.478273621,62.11677206,7.227532186,0,1.478196767,0.548327675,0.20576182,0.039190955,0.067809021,15.76350458,0.406016484,0.708107002,2.447312657,15.46548792,50.65253817,358.1308927,0.021846387,3.924195253,0,0,1.137618732,0,1.459094135,1.551056153,95.85223098,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
205,Lake Winnibigoshish,Winnibigoshish Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,2.450193131,229.9252202,None,0,16.0941572,0,1.917026082,0.736191788,0.25403879,0.043756714,0.079056155,37.81384912,0.622289458,0.775869112,2.76108403,1.66073202,37.24194953,12.37647666,0,1.887503335,0.740662944,0.304748478,0.068319709,0.289378783,36.93829739,1.253646341,1.174303991,3.217657142,2.301851315,39.44715391,395.7468031,0.04106622,2.606849624,0,0,1.036900181,0,0.443491093,6.673503658,91.84610507,119.0-225.0,119,225,7.3-7.8,7.3,7.8,1
206,Lac Qui Parle Lake,Lac Qui Parle Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,14.27322468,25.21964345,Dam,1,2.301064793,0,2.891242221,1.048874076,0.464237983,0.12218645,0.152185226,0.865229177,0.001259394,0.530179877,2.862238367,79.09233931,9.66896313,3.287872095,0,2.862528676,1.079817033,0.53340266,0.129452505,0.132616818,1.658180992,0.017368642,4.483956382,5.982359899,72.73852824,7.093916057,285.1025641,0.304296251,1.833707495,96.07850134,0,0,0,0,3.921498662,0,325.0-400.0,325,400,7.8-8.1,7.8,8.1,1
207,Pokegama Lake,Pokegama Lake Dam,St. Paul District,MVP,Mississippi Valley Division,MVD,No,3.285903741,30.56791635,None,0,7.195761752,0,1.661712474,0.899541674,0.354402626,0.094968065,0.259358343,38.58736909,1.57966342,1.039758032,2.561495506,0.521460547,45.24450847,9.059947234,0,1.896575404,0.831563812,0.352622477,0.086544371,0.551740358,35.94135571,1.263415428,1.063605818,3.1440736,0.582388468,45.22616732,389.6346154,0.310931897,2.636515874,0,0,7.603801901,0,0,92.3961981,0,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
208,Big Sandy Lake Reservoir,Sandy Lake,St. Paul District,MVP,Mississippi Valley Division,MVD,No,35.97176429,34.88035415,None,0,3.875779226,0,1.616872405,0.594888946,0.184225075,0.030765932,0.03140476,28.32918883,0.500329699,0.567738777,5.982146816,1.10012484,57.18653469,7.431933245,0,2.25248633,1.050332154,0.506111921,0.145165647,0.382797524,34.65802421,0.924561681,0.811243029,6.574855886,1.233881908,44.02860647,371.8070175,0.108545259,2.911174815,0,0,41.45171275,0,0,0,58.54828725,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
209,Whitney Point Lake,Whitney Point Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,25.47487854,4.340068399,None,0,0.76728728,0,5.132347247,2.201633372,1.086899192,0.365472909,0.182961578,60.31065197,0.444025142,0.349891104,22.3267477,3.583332583,3.248749918,2.279399689,0,5.087307894,2.223330031,1.058696043,0.401270766,0.223768177,54.75025927,0.648005102,0.43793056,20.85712792,8.200066123,3.832838426,296,0.957033997,9.363152474,0,0,100,0,0,0,0,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
210,Foster Joseph Sayers Reservoir,Foster Joseph Sayers Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,49.44903881,7.154197035,None,0,0.658610547,0,4.447999203,1.742231792,0.682255593,0.205648885,0.236450459,76.72299769,0.315112245,1.04690841,6.291997712,7.156077107,0.493710358,0.935422748,0,4.443317027,1.738451254,0.693276152,0.244790251,0.246270698,72.9395231,0.474235101,0.937444127,8.14207913,8.497825614,0.7073648,198,1.353299684,10.32490323,91.59758855,0,0,8.402411454,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
211,Jennings Randolph Lake,Jennings Randolph Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,73.09510967,3.673615135,None,0,0.874323784,0,4.105216761,1.42577129,0.733747114,0.213051255,0.484018113,72.13361014,1.104865039,2.098351455,13.84844371,0.910072574,2.068528764,0.67916977,0,4.578748694,1.418471644,0.688809268,0.19495031,0.301448018,74.18025422,0.76665379,1.407926733,13.48175745,1.46316118,0.838648919,456.3,3.73398717,8.16387829,0,0,0,100,0,0,0,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
212,Almond Lake,Almond Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,41.8630443,0.556704345,None,0,0.388799635,0,5.139039759,1.205266808,0.425772383,0.098840941,0.106611075,59.19473147,0.573594463,0.296781252,19.90079726,10.58168333,2.088081629,1.788694917,0,5.010804507,1.551614164,0.600550965,0.177439088,0.130602441,55.43828451,0.552953884,0.312612877,16.87155059,14.26607472,3.298817328,412.25,2.10812475,4.157552627,0,0,100,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
214,Savage River Reservoir,Savage River Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,71.70516875,0.886549972,None,0,1.073779208,0,4.432620671,1.560335148,0.794770499,0.2291393,0.485188498,72.08851027,0.951418518,1.950731252,14.04384355,1.011720999,1.377942088,0.727320642,0,4.659032599,1.520043646,0.747786187,0.212329489,0.321249794,73.56419558,0.792601881,1.468319587,13.29452363,1.813236047,0.879360911,473,2.204418421,8.581168644,0,0,0,100,0,0,0,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
215,Curwensville Lake,Curwensville Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,74.62791785,3.127586415,None,0,0.465927104,0,4.991250754,1.860796175,0.597776426,0.164964311,0.647754224,74.20192095,1.070968473,2.236772637,10.80763621,2.101259528,0.852973209,0.67636095,0,4.833733637,1.946715505,0.806837984,0.255199379,0.376297478,73.79113489,0.77198946,1.444497308,9.299558408,5.126852371,0.670822636,372.2,2.127548432,9.152919189,0,0,0,100,0,0,0,45.0-119.0,45,119,6.8-7.3,6.8,7.3,1
216,Cowanesque Lake,Cowanesque Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,0.343383209,4.351658494,None,0,0.558665139,0,5.073248038,1.427772534,0.704597002,0.241785858,0.159102046,62.07101051,0.453132228,0.379145413,24.44091404,2.963260021,1.527367173,1.38443859,0,4.697262091,1.188503704,0.497747322,0.166435921,0.141929534,65.60015123,0.602251184,0.397210962,18.64726408,4.840063148,1.836742232,324.6666667,1.439990742,3.618617408,97.20728175,0,2.792718246,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,1
217,Raystown Lake,Raystown Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,0.107291202,31.830555,None,0,0.792146005,0,4.372007288,2.298267597,0.943248735,0.295855547,0.22698076,68.886867,0.301815754,0.927419799,11.06427763,9.608256172,0.282857709,0.654051306,0,5.087331325,2.579357065,1.014192351,0.360162045,0.340040459,65.14214996,0.444662908,1.244895841,12.80064691,9.799709541,0.532800286,248.8125,2.249871232,11.68619879,0,0,0,9.613862506,0,0,90.38613749,45.0-225.0,45,225,7.3-7.8,7.3,7.8,0
218,Kettle Creek Lake,Alvin R Bush Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,67.41538244,0.534360488,None,0,0.416003213,0,3.021578383,0.261429004,0.080693207,0.024870496,0.120835954,91.56227655,0.5323883,1.081153074,2.107128982,0.153113237,0.638529596,0.402199013,0,4.003971693,1.150944731,0.464525777,0.156576359,0.251060297,79.3875816,0.755476592,1.073910725,8.592626764,2.614543114,1.146583333,278,2.928435087,3.211361549,0,0,0,100,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
219,George B. Stevenson Reservoir,George B Stevenson,Baltimore District,NAB,North Atlantic Division,NAD,No,66.12175715,0.586228144,None,0,0.345788222,0,2.899011936,0.237724084,0.087744676,0.027603154,0.115228705,91.44097996,0.702638126,1.154754652,2.137287403,0.075678932,0.775560147,0.379426135,0,4.014682587,1.124930993,0.442353992,0.14219576,0.250078291,79.66604975,0.782007185,1.072722763,8.590673143,2.325220788,1.209658609,298,1.02080977,2.699122337,0,0,0,100,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
220,Tioga Lake,Tioga Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,9.704779429,1.808120706,Dam,1,0.583310041,0,5.056019572,1.393118839,0.717001906,0.251485867,0.172778965,61.67980973,0.465149805,0.366716236,25.35497596,2.383514033,1.576119047,1.057678547,0,4.718645884,1.228885213,0.551952732,0.204505679,0.15229585,66.57013546,0.588009125,0.420934235,18.78715054,3.988687527,1.731119206,360.3333333,2.906371315,3.313834614,95.2498763,0,4.750123701,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
221,Hammond Lake,Hammond Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,8.574492433,2.817382144,Dam,1,0.551283486,0,5.033748523,1.357411282,0.699642323,0.244179381,0.159433327,62.04369541,0.461196775,0.366064292,25.1858622,2.401198273,1.496284722,1.036441098,0,4.675664997,1.193793877,0.532852568,0.194484457,0.146188144,67.12004628,0.5882157,0.417700492,18.47998919,3.894089397,1.720533797,338,1.875606447,3.324783057,100,0,0,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
222,East Sidney Lake,East Sidney Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,4.107249339,0.828389611,None,0,1.172557877,0,4.01466741,1.403850877,0.49495692,0.134230741,0.107313892,70.06487819,0.475716171,0.329466274,17.18323506,1.68241249,2.936714094,1.118421399,0,4.532793802,1.381421598,0.606821203,0.171221591,0.125921857,66.47991181,0.502037495,0.466175205,17.53446093,3.200516023,3.880297095,359.5,2.596958876,2.667324365,0,0,100,0,0,0,0,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
223,Stillwater Lake,Stillwater Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,30.94792948,0.501082311,None,0,1.983069553,0,6.003301405,1.992576036,1.455827997,0.566894725,0.352579195,65.93215523,0.580426476,0.590446824,15.77738796,0.365597082,4.399737518,1.82618033,0,5.928625723,1.981886708,1.237733019,0.49272957,0.271870632,69.44597316,0.529116692,0.506617685,12.56750628,0.736087515,4.475672681,496,2.578555107,1.897638881,0,0,100,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
224,Aylesworth Creek Lake,Aylesworth Creek Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,44.28134247,0.029968691,None,0,2.227771012,0,6.487229224,2.627273309,2.159806548,0.89602633,0.389089522,63.07658104,0.664500387,0.646858473,13.94163288,0.466516948,6.416714333,1.845305319,0,6.380091921,2.174258672,1.397436774,0.565202675,0.37736119,69.06604099,0.532640776,0.568033569,11.21130089,1.184934276,4.697392946,355.5,2.3385945,1.768710339,0,0,100,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
243,Littleville Lake,Littleville Dam,New England District,NAE,North Atlantic Division,NAD,No,28.15107555,1.033673005,None,0,2.079493057,0,5.865905557,4.550143326,3.420684598,1.167460769,0.287219292,66.0363771,0.398236679,0.542447412,4.679226709,1.813462073,9.159343426,2.307847982,0,5.75187919,4.519660549,3.253190553,0.985465218,0.274879708,64.6829685,0.54066214,0.631200477,6.796883183,1.880538344,8.374824157,173,1.775350114,5.009842735,0,0,100,0,0,0,0,21.0-45.0,21,45,7.3-7.8,7.3,7.8,0
244,Colebrook River Lake,Colebrook River Dam,New England District,NAE,North Atlantic Division,NAD,No,27.41856352,2.976752064,None,0,2.289671829,0,6.757964356,5.057840797,3.607634265,1.160318774,0.270566172,64.11255463,0.420532383,0.601080441,4.817280663,1.523014359,9.381541328,2.706301742,0,6.927976633,5.637400817,3.957689267,1.194104886,0.274692462,61.18025962,0.470267909,0.598123127,6.949491278,1.823734305,8.279957955,226.75,2.400538445,6.312259556,0,0,100,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
245,West Thompson Lake,West Thompson Dam,New England District,NAE,North Atlantic Division,NAD,No,115.8196301,0.798291473,None,0,2.556244656,0,6.081129539,5.523065211,5.142624105,1.799297514,0.467506636,59.51025256,0.979252988,1.207129255,3.94658459,0.884198075,11.90271487,8.590879612,0,7.132330919,7.623724161,7.666010948,2.987065484,0.480325063,46.51247641,0.66608969,1.119367896,3.357073787,1.263193382,12.04934,97,0.153296739,3.551004438,0,0,100,0,0,0,0,21.0-45.0,21,45,6.8-7.3,6.8,7.3,0
246,Mansfield Hollow Lake,Mansfield Hollow Dam,New England District,NAE,North Atlantic Division,NAD,No,88.32045142,2.299479659,None,0,2.401546882,0,6.773026898,5.367694083,3.469599821,1.033963742,0.328217374,61.00590869,0.756444777,0.894559242,4.098605181,2.266867138,11.60356618,16.47367241,0,6.818509178,6.648979805,6.109255878,2.179726149,0.458126059,44.68618602,0.589518401,0.978802596,3.038485403,1.153829009,9.420763725,76.33333333,0.332347686,3.886954065,0,0,100,0,0,0,0,21.0-45.0,21,45,6.8-7.3,6.8,7.3,0
247,Edward MacDowell Lake,Edward MacDowell Dam,New England District,NAE,North Atlantic Division,NAD,No,110.6245619,0.775953447,None,0,1.836211473,0,4.536595429,3.23116941,1.840986282,0.474711184,0.405009166,72.50214612,1.492442208,1.027892362,3.412034422,0.253812541,8.98698941,2.610404556,0,5.182631802,4.819823663,4.023286207,1.283030187,0.420909518,66.30944097,1.166966302,0.897624657,4.181658903,0.561567109,8.542656125,286.5,1.123081237,3.027119577,0,0,100,0,0,0,0,21.0-45.0,21,45,6.8-7.3,6.8,7.3,0
248,Surry Mountain Lake,Surry Mountain Dam,New England District,NAE,North Atlantic Division,NAD,No,83.89784876,0.694911674,None,0,1.699632926,0,4.150500129,1.971351203,1.166158686,0.294034552,0.260069767,77.75026145,1.236789609,0.758323179,4.185359629,0.610918766,5.916600108,2.055481149,0,4.199762292,3.065742132,2.158690231,0.646867179,0.35232165,73.43643701,1.08791457,0.800741743,4.691226206,0.650160435,6.854655407,154,0.070112854,3.887408633,0,0,0,0,0,100,0,21.0-45.0,21,45,6.8-7.3,6.8,7.3,0
249,Otter Brook Lake,Otter Brook Dam,New England District,NAE,North Atlantic Division,NAD,No,91.28644164,0.322796315,None,0,1.888802731,0,4.161338712,2.047552698,1.168945732,0.278875307,0.271026453,76.73074556,1.318435427,0.815075997,3.926286175,0.586013376,6.806901828,2.235581806,0,4.429992797,3.489979002,2.522073891,0.725458154,0.375670036,71.91760333,1.101831479,0.824054065,4.386886844,0.603697379,7.387171218,233,2.730316162,3.754253372,0,0,100,0,0,0,0,21.0-45.0,21,45,6.8-7.3,6.8,7.3,0
250,Ball Mountain Lake,Ball Mountain Dam,New England District,NAE,North Atlantic Division,NAD,No,45.52091332,0.081031571,None,0,1.009744008,0,3.602832747,1.587747407,0.900582023,0.183659427,0.17173914,81.46261398,0.765804473,0.547497906,5.216282729,0.515339234,4.036156927,1.629102593,0,3.797480809,2.265150891,1.349353089,0.341522194,0.246875522,73.32539918,0.856954956,0.667951522,7.747985524,1.844452652,5.927771065,321.5,1.812159,5.355810358,0,0,100,0,0,0,0,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
251,Townshend Reservoir,Townshend Dam,New England District,NAE,North Atlantic Division,NAD,No,52.04002149,0.164885197,None,0,1.113030679,0,3.801822031,1.765347692,1.084141559,0.253449008,0.165147728,81.21680554,0.78360433,0.517257772,4.60619802,0.487012846,4.206182793,1.683282309,0,3.773165385,2.230384508,1.373758612,0.351200902,0.260901756,73.42064621,0.893799118,0.68302941,7.403489551,1.862888495,6.063453741,192.25,3.19029725,5.042597632,0,0,100,0,0,0,0,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
254,North Springfield Reservoir,North Springfield Dam,New England District,NAE,North Atlantic Division,NAD,No,65.57798918,0.533340055,None,0,1.315696298,0,3.962123957,1.978316668,1.10236603,0.261411681,0.234386198,79.68703122,1.073134036,0.557443348,5.566924503,0.461366046,3.799800011,1.502546963,0,3.638121376,1.948706971,1.107962422,0.24658159,0.240097643,76.66926475,1.057493015,0.658018298,6.642897419,0.855567488,5.432742069,155,1.152437091,4.605541274,0,0,100,0,0,0,0,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
255,Lake Moomaw,Gathright Dam,Norfolk District,NAO,North Atlantic Division,NAD,No,114.6867271,10.25802686,None,0,0.513103309,0,3.070814552,0.838582975,0.323489526,0.087185078,0.078913999,85.45093189,0.711665665,0.920827989,7.601869772,0.229529503,0.173085739,0.324716773,0,3.596330379,1.634362095,0.658515129,0.213627799,0.142679656,78.5850217,1.024967031,1.217538312,11.90008558,0.424255959,0.277899581,492.5714286,1.935466973,10.97685272,0,0,0,100,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
256,Blue Marsh Lake,Blue Marsh Dam,Philadelphia District,NAP,North Atlantic Division,NAD,No,63.81647651,23.06324814,None,0,0.603970363,0,9.254593812,6.005494423,3.117299252,1.525581208,0.447417342,39.43016709,0.896886661,0.747465341,12.25131423,24.63675323,1.083057046,1.68873816,0,11.3656342,7.392292555,3.964518961,1.774429519,0.499344319,40.09928784,0.736833617,0.549733,12.44800724,18.30433325,1.176847341,107.3125,0.784820732,10.95054983,0,0,0,100,0,0,0,45.0-119.0,45,119,7.8-8.1,7.8,8.1,0
257,Beltzville Lake,Beltzville Dam,Philadelphia District,NAP,North Atlantic Division,NAD,No,26.98522651,14.61352627,None,0,1.176782326,0,10.21100683,5.536121401,3.023019536,1.416229566,0.786863673,55.56816431,0.414555594,0.668249088,6.904565724,10.9426123,3.351829646,1.500990811,0,9.76666315,4.804538237,2.690498795,1.135162862,0.548012731,53.77034428,0.652846356,0.659838505,11.39863725,8.916489108,4.155977915,206.5238095,1.564246725,10.27019456,0,0,3.824127101,0,0,0,96.1758729,45.0-119.0,45,119,7.3-8.1,7.3,8.1,0
