OBJECTID,name,dam_name,district,dist_sym,division,div_sym,dry,dist_to_infest_km,surface_area_km,connectivity,num_connections,perc_open_water_25mi,perc_perennial_snowice_25mi,perce_dev_openspace_25mi,perc_dev_lowintensity_25mi,perc_dev_medintensity_25mi,perc_dev_highintensity_25mi,perc_barren_25mi,perc_forest_25mi,perc_shrubscrub_25mi,perc_herbaceous_25mi,perc_haypasture_25mi,perc_crops_25mi,perc_wetland_25mi,perc_open_water_50mi,perc_perennial_snowice_50mi,perce_dev_openspace_50mi,perc_dev_lowintensity_50mi,perc_dev_medintensity_50mi,perc_dev_highintensity_50mi,perc_barren_50mi,perc_forest_50mi,perc_shrubscrub_50mi,perc_herbaceous_50mi,perc_haypasture_50mi,perc_crops_50mi,perc_wetland_50mi,mean_elev_m,mean_slope,perc_CaO_25mi,perc_alluvial_25mi,perc_eolian_25mi,perc_glacial_glaciofluvial_25mi,perc_colluvial_25mi,perc_organic_rich_25mi,perc_proglacial_25mi,perc_resid_volcanic_art_wat_25mi,hardness_range,min_hardness,max_hardness,pH_range,pH_min,pH_max,infest_status
370,Isabella Lake,Isabella Dam,Sacramento District,SPK,South Pacific Division,SPD,No,287.2740875,31.31101498,None,0,0.356054179,0,0.948217698,0.205754232,0.069591897,0.01101778,0.027642823,13.99928413,56.99463909,26.42434671,0.103038729,0.066781238,0.793631498,0.219036574,9.83E-05,2.174493069,0.943207055,1.241174488,0.333577734,1.777888602,9.502901903,49.36264757,21.02181393,0.149258942,12.7422912,0.531610639,789.826087,1.198303287,3.905459992,0.054596132,0,0,0,0,0,99.94540387,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
371,Lake Kaweah,Terminus Dam,Sacramento District,SPK,South Pacific Division,SPD,No,214.2522832,7.541809612,None,0,0.330952249,0.002709569,2.379740186,1.55084313,2.010253562,0.489615963,2.452713795,19.48232153,17.34233197,30.51648534,0.325902598,22.66438652,0.451743584,0.420577207,0.080205417,2.043389967,1.259689563,1.594372469,0.525934996,3.967226751,17.4892528,22.7364288,21.35256564,0.337141626,27.60115837,0.592056405,222.5384615,3.20671563,3.129630319,0,0,0,0,0,0,100,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
372,Lake Success,Success Dam,Sacramento District,SPK,South Pacific Division,SPD,No,229.1684514,10.04688286,None,0,0.25604898,0,2.633899329,1.295332843,1.410084251,0.361449248,0.15881558,10.6705275,13.00562099,40.10837787,0.295037698,29.36310277,0.441702947,0.384620809,0.020420519,2.294916668,1.245165075,1.660420786,0.475078101,2.373427626,12.48956397,23.08975156,23.57546879,0.31017581,31.20650382,0.874486466,202.2857143,1.070399525,2.989874193,0.833482703,0,0,0,0,0,99.1665173,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
375,New Hogan Lake,New Hogan Dam,Sacramento District,SPK,South Pacific Division,SPD,No,152.4519996,17.34882499,None,0,1.706734492,0,3.427757168,1.261952734,0.696907505,0.269972184,0.118649844,27.39794948,19.50265262,28.28396853,1.26396632,15.71196733,0.357521784,2.202728291,2.33E-05,3.628525089,2.570402934,3.571314046,1.31163156,0.278684444,27.74500539,16.37691698,16.81406135,0.973712419,23.58681602,0.940178131,216.6071429,0.97068623,4.194008709,0,0,0,0,0,0,100,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
377,Pine Flat Lake,Pine Flat Dam,Sacramento District,SPK,South Pacific Division,SPD,No,179.3796277,23.71387949,None,0,0.980653055,0.001307694,2.202549559,1.34538208,2.286673536,0.738546527,0.493759225,28.6986336,20.4655078,28.33518612,0.473280732,13.37346299,0.605057089,0.725962926,0.173144951,2.15895518,1.377067878,1.739922789,0.57721028,4.871763411,21.78620131,20.73740015,21.58489773,0.295854456,23.47548843,0.496130512,303.4117647,2.712304348,3.307318417,0,0,0,0,0,0,100,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
378,Lake Clementine,North Fork Dam,Sacramento District,SPK,South Pacific Division,SPD,No,237.965493,0.912792888,None,0,0.893182765,0,7.556375979,3.378048512,3.7314936,1.057684101,0.33639036,49.11944258,14.33500788,13.55409533,0.324961267,5.212005623,0.501312002,2.08865583,0.000279181,4.387572724,2.369190035,2.929733923,0.964353248,0.547126299,41.70641782,13.55223856,12.53955323,0.470157053,17.6542476,0.790474493,271,1.400011063,4.379744415,0,0,0,0,0,0,100,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
379,Alamo Lake,Alamo Dam,Los Angeles District,SPL,South Pacific Division,SPD,No,615.9159505,54.36584527,None,0,0.178405979,0,0.25429195,0.069638638,0.019162738,0.004360383,0.714184901,0.106013415,96.67589614,1.321565908,0.00634933,0.274270665,0.375859949,0.383495342,0,0.581463782,0.335943844,0.269657338,0.059228721,4.44288483,4.045561002,85.82843051,2.511870445,0.049520073,1.167062314,0.324881801,358.0128205,1.167654908,3.505064821,59.31142928,0,0,0,0,0,40.68857072,225.0-325.0,225,325,8.1-8.4,8.1,8.4,0
395,Lake Mendocino,Coyote Valley Dam,San Francisco District,SPN,South Pacific Division,SPD,No,304.308582,6.895415398,None,0,2.277021166,0,4.868124672,0.582336072,0.364985284,0.125326561,0.036206515,42.57239867,30.37484035,16.66675709,1.00856446,0.625771124,0.497668039,5.652866821,0,3.363758365,0.527418779,0.280537701,0.075534069,0.153022474,29.96410282,22.22990508,22.18344229,0.495338234,1.627508691,0.545860994,229,1.206062932,3.786962772,98.39236701,0,0,0,0,0,1.607632989,45.0-119.0,45,119,7.8-8.1,7.8,8.1,0
396,Lake Sonoma,Warm Springs Dam,San Francisco District,SPN,South Pacific Division,SPD,No,249.2905567,9.620580504,None,0,8.466914321,0,3.831445902,1.424354236,1.191835822,0.359375701,0.081295965,35.6548759,22.51901018,16.01611131,0.668172498,3.130818954,0.623653609,6.668411674,0,2.884618916,1.020630289,0.871350085,0.238564697,0.10264943,21.49050879,20.6069736,18.27552084,0.505824354,2.174292676,0.954524447,146.6470588,2.625269925,4.135595028,0,0,0,0,0,0,100,45.0-119.0,45,119,7.8-8.4,7.8,8.4,0
397,Black Rock Lake,Black Rock Dam,New England District,NAE,North Atlantic Division,NAD,No,27.06781358,0.748176345,None,0,2.482092103,0,10.24766659,8.608242013,6.732682059,1.908797855,0.245014698,56.37806224,0.392561038,0.624545934,4.519997258,0.889428528,6.970909693,13.45104798,0,8.467474622,6.658224998,4.870010788,1.581672857,0.269912489,49.82339199,0.374898482,0.556991161,5.070854688,1.319980854,7.555539092,161,1.131078482,5.402625162,0,0,100,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,0
